word,meaning
academy,学院、専門学校
accident,事故
acid rain,酸性雨
action,"1. 動き、演技
2. 行動、(一時の)行為、行い"
activity,活動
actor,俳優
addition,つけ加えること　〔in addition to ～で〕～に加えて
address,あて名、住所
adult,大人、成人
advantage,有利な立場、利点
adventure,冒険
advertisement,広告、宣伝
advice,忠告、助言、アドバイス
Africa,アフリカ、アフリカ大陸
afternoon,午後
age,年齢、歳
air,空中、空気
air pollution,大気汚染
airport,空港
album,(写真、ＣＤ、レコードなどの) アルバム
ambulance,救急車
America,アメリカ合衆国 〔正式名称はthe United States of America〕
American,アメリカ人、米国人
amusement park,遊園地
ancestor,祖先、先祖
animal,《植物に対して》 動物
animation,動画、アニメーション
anime,（日本の）アニメ
answer,答え、応答、返事
apartment,アパート
apple,リンゴ
April,4月
aquarium,水族館
architect,（建物の）建設者、建築家
area,（大小さまざまの）場所、区域、地域、地方
arena,競技場、アリーナ
arm,腕
arrest,逮捕
art,"1. 美術、芸術
2. 技術"
artist,芸術家
Asia,アジア（大陸）
astronaut,宇宙飛行士
attention,注意、注目
attitude,態度、考え方、見方
audience,聴衆、観客
August,8月
aunt,おば、おばさん
Australia,オーストラリア
autumn,秋
baby,赤ちゃん
backyard,裏庭
bag,かばん、バッグ、袋
balance,つり合い、バランス、（からだや心の）安定
ball,ボール、球
balloon,風船
bamboo,竹
banana,バナナ
band,楽団、バンド
bank,銀行
barrier,壁、障壁
baseball,野球
basketball,バスケットボール
bat,（野球の）バット
bath,入浴　  〔take a bath の形で〕 入浴する
bathroom,トイレ、浴室
beach,浜、浜辺、海辺、なぎさ
bear,クマ
beauty,美しさ
bed,ベッド 　〔go to bed の形で〕 寝る、床につく
bedroom,寝室
beef,牛肉
bell,鈴、鐘
belt,ベルト、（ズボンの）バンド、帯
bench,長いす、ベンチ
best,最高（のもの）
bicycle,自転車
bike,自転車　　〔bicycle ともいう〕
billion,10億
bird,鳥
birthday,誕生日
black,黒、黒人
blackboard,黒板
block,かたまり、ブロック
blog,(コンピュータ)ブログ
blossom,(特に果樹の)花
blue,青
blueberry,ブルーベリー
board,板、掲示板、黒板
boat,ボート、小舟、船
body,からだ、肉体
bomb,爆弾
book,本、書物
bookcase,本箱
bookstore,本屋、書店
border,国境
bottle,びん
box,箱
boy,男の子、少年、青年
Braille,点字
branch,"1. 支社
2. 枝"
Brazil,ブラジル
bread,パン
break,休けい、中休み、中断
breakfast,朝食、朝ごはん
bridge,橋
brightness,明るさ
British,英国人、イギリス人
brother,兄、弟、兄弟
brown,茶色
brush,筆
bubble,泡、あぶく
builder,建造者
building,建物、ビル
bump,でこぼこ
burn,やけど
bus,バス
business,商売、事業
butter,バター
button,ボタン
buzzer,ブザー
cacao,カカオ（の実）
cafeteria,カフェテリア、学食
cake,ケーキ
calendar,暦、カレンダー
call,電話(すること)
calligraphy,書道
Cambodia,カンボジア
camera,カメラ
can,（金属製の）缶
Canada,カナダ
Canberra,キャンベラ（オーストラリアの首都）
cap,"1. ぼうし 《つばがないか、つばが前だけにあるもの》
2. びんのふた"
capital,～の首都、中心地
captain,（チームの）キャプテン
car,自動車、車
card,カード、はがき、トランプの札　 〔たとえば play cards の形で〕 トランプをする
cardboard,段ボール、ボール紙
care,"1. 世話　〔take care of ～の形で〕 ～の面倒をみる
2. 注意、関心、保護、用心"
career,職業、経歴
carpenter,大工
carport,車庫、カーポート
carrot,ニンジン
case,"1. ケース、箱、～入れ
2. 場合、実例、実情、事実"
castle,城    〔たとえば Hirosaki Castle の形で〕 弘前城　
cat,ネコ
catalog,カタログ
catch,（ボールなどを）とらえること、キャッチボール　　〔play catch の形で〕　キャッチボールをする
cause,原因
cave,洞窟、ほら穴、横穴
CD,CD、コンパクトディスク  〔compact disc ［disk］の略〕
ceiling,天井
cell phone,携帯電話
cent,セント（アメリカ合衆国の通貨。100 cents = 1 dollar）
center,中心、中央、真ん中
century,世紀、100年
chair,（１人用で、背もたれのある） 椅子
challenge,挑戦、やりがい
champion,優勝者、選手権保持者、チャンピオン
championship,選手権（大会）、優勝
chance,機会、可能性、チャンス
change,おつり、つり銭、小銭
character,"1. (人の)性格、人格、(物の)特色
2. 人物、登場人物"
charity,慈善、チャリティー、慈善団体
chart,図表
cheese,チーズ
cheeseburger,チーズバーガー
chef,シェフ、コック長
cherry,サクランボ、サクラ（の木）
cherry blossom,サクラの花
chess,チェス
chest,胸
child,子ども
childhood,幼少時代
children,child の複数形
chimney,煙突
China,中国
Chinese,中国語、中国人
chocolate,チョコレート
choice,選ぶこと、選択、選ぶ自由
chorus,合唱
Christmas,クリスマス
church,教会
circle,円
city,市、都市、都会   〔city hall の形で〕 市役所
class,"1. 授業
2. 学級、組、クラス　 "
classmate,同級生、クラスメート、級友
classroom,教室
clean energy,再生可能エネルギー
clerk,係員、店員、係
climate,気候
clock,時計《置時計、掛け時計・柱時計》
cloth,布
clothes,衣服、服
cloud,雲
club,クラブ、部
coach,コーチ
coat,コート、上着
coffee,コーヒー
coin,硬貨、コイン
cola,コーラ
cold,かぜ　〔have a cold の形で〕 かぜをひいている
college,大学
color,色、肌の色
comic,マンガ
comment,コメント
communication,コミュニケーション、意思伝達、情報の伝達
community,地域社会
company,会社
compartment,もの入れ
computer,コンピュータ
concert,コンサート、演奏会、音楽会
conclusion,結論
condition,状態、容態、環境、状況
conditioner,ヘアコンディショナー、リンス
conditioner,冷暖房装置　〔air conditioner で〕エアコン
condominium,分譲マンション
conference,会議、会談、協議
connection,接続（すること）、つながり、関係
content,内容、中身
contest,コンテスト、コンクール
control,制御　〔out of controlで〕制御しきれなくなって
convenience,便利なこと（もの）
convenience store,コンビニエンスストア、コンビニ
cook,料理をする人
cooking,料理
corner,（道路の）曲がり角
costume,服装、衣装、コスチューム
cotton,綿
cough,せき
country,国
courage,勇気
course,"1. 〔Of course.の形で〕 もちろん
2. 方向、進路
3. 講座、コース"
court,（テニスなどの）コート
cousin,いとこ
cow,牛（雌牛、乳牛）
cracker,（菓子の）クラッカー
craftsperson,職人
crane,ツル
creativity,創造性[力]、独創[力]
culture,文化、土壌、習慣、風習、知的産物
cup,（紅茶・コーヒー用などの）カップ、茶わん、賞杯
curry,カレー、カレー料理
cushion,ざぶとん、クッション
custom,風習、習慣
customer,客、顧客
cycling,サイクリング
dad,パパ、お父さん　《家庭内で子どもが父親を呼ぶのに使う。呼びかけの時にはしばしば大文字で始めて Dad とする。》
dance,踊り、ダンス
dancer,踊る人、舞踏家、ダンサー
danger,危険（な状態）
date,日付、月日、日時
daughter,娘
day,"1. 日、1日
2. 日中、昼間"
day-at-work program,職業体験プログラム
death,死、死亡
decade,10年間
December,12月
decision,決断
degree(s) Celsius ,〔5℃ = five degrees Celsius で摂氏5度〕
democracy,民主主義
demonstration,（集会・行進などによる〕デモ、デモンストレーション
dentist,歯医者
department store,デパート
design,デザイン、設計
designer,デザイナー、設計者
desk,机
developing country,発展途上国
diary,日記、日記帳
dictionary,辞書
difference,ちがい、相違（点）、差
difficulty,苦しさ、困難、苦労
dining,食事
dinner,ディナー、夕食
dinosaur,恐竜
director,(映画)監督
disaster,災害
discount,割引
disease,病気
dish,"1. 皿、食器類
2. 一皿、料理"
doctor,医者、医師、博士
dog,イヌ
doggy bag,ドギーバッグ
dollar,ドル　　　《米国・カナダなどの貨幣で、1ドルは100セント》
dolphin,イルカ
dome,丸屋根、ドーム
donut,ドーナツ
door,戸、ドア、戸口、玄関
dot,点
Dr. (Dr),～博士　Doctorの短縮形
drama,（テレビの）ドラマ、劇
dream,夢、希望、理想
dress,衣装、ドレス
driftwood,流木
drill,訓練
drink,飲み物　　〔たとえば soft drinks の形で〕清涼（せいりょう）飲料
drinking fountain,水飲み場[器]
driver,（車を）運転する人、運転手
driveway,（道から車庫または玄関までの）車道
drop,しずく
drugstore,ドラッグストア、薬局
drum,太鼓、ドラム
duck,カモ、アヒル
DVD,デジタルビデオディスク　〔digital video disc ［disk］の略〕
e-mail (email),Eメール、電子メール
ear,耳
earth,地球　〔the をつけないで、Earth と大文字ではじめることもある〕
earthquake,地震
east,東
effort,努力
egg,卵、玉子
eight,8
eighteen,18
eighteenth,18番め、（月の）18日
eighth,8番め、（月の）8日
eighty,80
electricity,電気
elementary school,小学校
elephant,ゾウ
elevator,エレベーター
eleven,11
eleventh,11番め、（月の）１１日
emergency,緊急事態、非常時
end,終わり、最後、端
endangered animal,絶滅の危機にひんしている動物
ending,終わり、結末、エンディング
energy,エネルギー
engineer,技師、エンジニア
engineering,工学
England,イングランド
English,英語
entertainment,娯楽
entrance,入り口、玄関
environment,環境
era,時代　〔Nara era で〕奈良時代
eraser,消しゴム
Europe,ヨーロッパ
evacuation,避難
evening,夕方、晩、夜  《通例、日没から寝る時間までを言う》
event,行事、出来事、イベント
exam,試験
example,例、実例　〔for example の形で〕たとえば
exhibition,展覧会
experience,経験
expert,専門家、エキスパート
express,急行列車、速達便
expression,表現、言い回し、（顔などの）表情
eye,目、視力、視線
eyesight,視力
face,顔、表情
facility,設備、施設
fact,事実
fall,"1. 秋
2. 滝
3. 落下"
family,家族、一家、家族の者たち
fan,"1.  (スポーツなどの) ファン
2.  扇、扇子、うちわ"
farewell,別れ
farm,農場、農園
farmer,農家、農業をする人、農業主、農業経営者
farming,農業、農場経営
fashion,流行、はやり、ファッション、流行の服装
fate,運命
father,父、お父さん
favor,親切な行為　〔ask … a favor で〕　…にお願いする
favorite,お気に入りのもの［人］
February,2月
fee,料金、入場料
feeling,感情、考え、感覚
feet,〔foot の複数形〕
fence,垣根
Ferris wheel,観覧車
festival,お祭り、祭典　　〔たとえば the Aomori Nebuta Festival の形で〕 青森ねぶた祭り
fever,熱
fiction,小説、フィクション
field,運動場、フィールド、野原、畑、田、牧草地
fifteen,15
fifteenth,15番め、（月の）15日
fifth,5番め、（月の）5日
fifty,50
fight,戦い、口げんか
fighting spirit,闘志
film,映画
fine arts,芸術、(教科の) 美術
finger,(手の) 指
Finland,フィンランド
fire,火
fireplace,暖炉
firewood,まき、たきぎ
firework,花火
first,1番め、最初、（月の）ついたち
fish,魚 〔複数形も fish 〕
fitting room,試着室
five,5
five-story pagoda,五重塔
flash,ぱっと発する光、(撮影用の)フラッシュ
flight,フライト、飛行機旅行
float,山車
floor,"1. 床（ゆか）
2. ～階"
flower,花、草花
flute,フルート
food,食べ物、食糧
foot,足 《足首から下の部分》
football,フットボール(用のボール)、サッカー(用のボール)、アメリカンフットボール(用のボール)
forest,森、森林
fork,フォーク
forty,40
fossil fuel,化石燃料
four,4
fourteen,14
fourth,4番め、（月の）4日
fox,キツネ
France,フランス
freedom,自由
French,フランス語　
French fries,（細長い）フライドポテト
Friday,金曜日
fridge,冷蔵庫
friend,友達、友人
friendship,友情、友愛、親交
front,前面、前部、前　　〔in front of ～の形で〕～の前に
fruit,果物、フルーツ
fuel,燃料
fun,楽しいこと、面白いこと、楽しさ
furniture,家具
futon,フトン、ソファーベッド
future,未来、将来
game,"1. （一定のルールを持った）ゲーム、遊び
2. 試合、競技  "
garbage,生ごみ、くず
garden,"1. 庭、庭園
2. 畑､野菜園　　  "
gas,"1. 気体
2. (燃料用の)ガス
3. ガソリン　〔gas stationの形で〕　ガソリンスタンド  "
gate,門、出入口
geese,〔gooseの複数形〕
generation,世代、同世代の人々
gentleman,紳士　〔複数形は gentlemen〕
gentlemen,〔gentlemanの複数形〕
ger,ゲル（モンゴルの伝統的な移動式住居）
German,"1. ドイツ語
2. ドイツ人 "
Germany,ドイツ
gesture,身ぶり、ジェスチャー
Ghana,ガーナ
gift,贈り物
girl,女の子、少女
glacier,氷河
global warming,地球温暖化
glove,手袋
goal,"1. ゴール、決勝点
2. 目標、目的地　　"
goalball,ゴールボール《３人ずつの２チームで音の出るボールを用いて行う球技》
God,神
gold,金
goodness,善良さ、親切
goods,商品、品物
goose,ガン〔動物名〕
government,政府
grade,"1. 学年
2. 評定､点数 　 "
granddaughter,孫娘、女の孫
grandfather,おじいさん，祖父
grandmother,おばあさん、祖母
grandson,孫息子
grape,ブドウ
grass,"1.　草
2.　草地、芝生　　　"
gray,灰色、ねずみ色
Greece,ギリシャ
green,緑（色）
greenhouse gas,温室効果ガス
greeting,挨拶
ground,地面、大地   
group,グループ、団体
guide,（旅行などの）人、ガイド
guitar,ギター
gun,銃
gym,体育館、ジム
habit,習慣、くせ
habitat,生息地
hair,毛、髪の毛
half,半分
hall,会館、役所　〔city hallの形で〕市役所
hallway,（ビルなどの）廊下、通路
ham,ハム
hamburger,ハンバーガー
hand,手
handle,取っ手、柄
handout,配付印刷物、ビラ、プリント
happiness,幸福
hardship,苦難
harvest,収穫
hatred,憎しみ
haunted house,お化け屋敷
Hawaii,ハワイ（太平洋にある米国の州、州都はホノルル）
hawk,タカ
hay fever,花粉症
head,頭、頭部
headache,頭痛
health,健康
heart,心
heat,熱
heater,暖房器具
help,助け､援助
here,ここ、この場所
heritage,（祖先から伝わる精神的・文化的）遺産
hero,ヒーロー、英雄
high school,高等学校
highlight,ハイライト、見せ場
hill,丘、小山
history,歴史
hit,ヒット（曲）
hobby,趣味
hole,穴
holiday,休日、祝日
home,"1. 家、家庭
2. 故郷
3. 〔at home の形で〕家に、在宅して、くつろいで
4. （野球の）本塁　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　"
homeland,本国、母国
homestay,ホームステイ
hometown,故郷
homework,宿題
